acpi 1.7-2
acpi_call 1.1.0-301
alacritty 0.4.2-1
alsa-firmware 1.2.1-2
alsa-utils 1.2.2-1
arc-icon-theme 20161122-2
atom 1.45.0-1
autoconf 2.69-7
automake 1.16.2-1
awesome 4.3-1
base 2-2
bbswitch 0.8-302
binutils 2.34-2
bison 3.5.3-1
cmake 3.17.0-1
code 1.43.2-2
cronie 1.5.5-1
dhcpcd 8.1.6-1
dialog 1:1.3_20200228-1
dmenu 4.9-1
dnsmasq 2.80-4
dosfstools 4.1-3
dunst 1.4.1-1
exfat-utils 1.3.0-1
f2fs-tools 1.13.0-1
fakeroot 1.24-2
firefox 74.0-2
flex 2.6.4-3
gcc 9.3.0-1
geany 1.36-1
gimp 2.10.18-5
git 2.26.0-1
gnu-netcat 0.7.1-7
grub 2:2.04-5
hdparm 9.58-3
htop 2.2.0-3
libreoffice-still 6.3.5-4
libtool 2.4.6+42+gb88cebd5-11
links 2.20.2-2
linux 5.5.13.arch2-1
linux-firmware 20200224.efcfa03-1
linux-headers 5.5.13.arch2-1
m4 1.4.18-3
make 4.3-1
man-db 2.9.1-2
man-pages 5.05-2
mc 4.8.24-2
mesa-demos 8.4.0-2
midori 9.0-1
mlocate 0.26.git.20170220-2
mono 6.4.0.198-1
mousepad 0.4.2-2
neofetch 7.0.0-1
net-tools 1.60.20181103git-2
netctl 1.20-2
nitrogen 1.6.1-2
nodejs 13.12.0-1
npm 6.14.4-1
ntfs-3g 2017.3.23-4
nvidia-prime 1.0-1
patch 2.7.6-8
picom 7.5-3
pkgconf 1.6.3-3
powertop 2.11-1
ppp 2.4.7-7
pulseaudio 13.0-3
pulseaudio-alsa 2-5
python 3.8.2-1
python-pip 20.0.2-1
python-setuptools 1:46.1.3-1
python2 2.7.17-2
ruby 2.7.1-1
screenfetch 3.9.1-1
slock 1.4-3
steam 1.0.0.61-4
sudo 1.8.31.p1-1
thunar 1.8.14-1
udiskie 2.1.0-1
unrar 1:5.9.2-1
unzip 6.0-13
upower 0.99.11-1
usbutils 012-2
vifm 0.10.1-1
vim 8.2.0343-1
vlc 3.0.8-11
wget 1.20.3-2
which 2.21-5
wpa_supplicant 2:2.9-7
xbindkeys 1.8.6-3
xdg-user-dirs 0.17-2
xf86-input-evdev 2.10.6-1
xf86-input-synaptics 1.9.1-1
xf86-video-intel 1:2.99.917+899+gf66d3954-1
xf86-video-nouveau 1.0.16-1
xf86-video-vesa 2.4.0-2
xorg-bdftopcf 1.1-1
xorg-docs 1.7.1-2
xorg-font-util 1.3.2-1
xorg-fonts-100dpi 1.0.3-4
xorg-fonts-75dpi 1.0.3-4
xorg-fonts-encodings 1.0.5-1
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.8-1
xorg-server-common 1.20.8-1
xorg-server-xephyr 1.20.8-1
xorg-server-xnest 1.20.8-1
xorg-server-xvfb 1.20.8-1
xorg-server-xwayland 1.20.8-1
xorg-sessreg 1.1.2-1
xorg-setxkbmap 1.3.2-1
xorg-smproxy 1.0.6-2
xorg-x11perf 1.6.1-1
xorg-xauth 1.1-1
xorg-xbacklight 1.2.3-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-3
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xgamma 1.0.6-2
xorg-xhost 1.0.8-1
xorg-xinit 1.4.1-1
xorg-xinput 1.6.3-1
xorg-xkbcomp 1.4.3-1
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.1-1
xorg-xrdb 1.2.0-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.5-1
xorg-xwud 1.0.5-1
xterm 353-1
zsh 5.8-1
zsh-autosuggestions 0.6.4-1
zsh-syntax-highlighting 0.7.1-1
